rater,model,model_id,outcome,low_population,low_sample,low_positive,low_source,codex_flagged_high_census,high_positive,high_source,stratified_estimated_tasks,stratified_estimated_rate,stratified_ci_low,stratified_ci_high,ci_method
A,GLM-5.2,aliyun/glm-5.2,strict,1993,200,51,reviewer_A_independent,7,4,post_review_consensus,512.2149999999999,0.25610749999999993,0.2005,0.3185,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,GLM-5.2,aliyun/glm-5.2,substantive,1993,200,9,reviewer_A_independent,7,3,post_review_consensus,92.685,0.0463425,0.0235,0.0825,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,GLM-5.2,aliyun/glm-5.2,severity_ge3,1993,200,0,reviewer_A_independent,7,1,post_review_consensus,1.0,0.0005,0.0005,0.0175,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,strict,1964,200,101,reviewer_A_independent,36,26,post_review_consensus,1017.82,0.50891,0.4425,0.575,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,substantive,1964,200,41,reviewer_A_independent,36,12,post_review_consensus,414.62,0.20731,0.1575,0.2655,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,severity_ge3,1964,200,1,reviewer_A_independent,36,1,post_review_consensus,10.82,0.00541,0.001,0.026,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,strict,1941,200,90,reviewer_A_independent,59,45,post_review_consensus,918.45,0.45922500000000005,0.395,0.525,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,substantive,1941,200,53,reviewer_A_independent,59,37,post_review_consensus,551.365,0.2756825,0.221,0.337,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,severity_ge3,1941,200,3,reviewer_A_independent,59,8,post_review_consensus,37.114999999999995,0.018557499999999998,0.0075,0.0445,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Qwen 3.7 Max,aliyun/qwen3.7-max,strict,1990,200,74,reviewer_A_independent,10,5,post_review_consensus,741.3,0.37065,0.3075,0.4375,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
A,Qwen 3.7 Max,aliyun/qwen3.7-max,substantive,1990,200,17,reviewer_A_independent,10,4,post_review_consensus,173.15,0.086575,0.054,0.1315,exact hypergeometric inversion for sampled finite low stratum; high stratum fixed census
