reviewer_path,model,model_id,outcome,analysis_corpus,target_tasks,low_population,random_sample_n,random_positive,high_census_n,high_positive,estimated_tasks,estimated_rate,ci_low,ci_high
A/consensus,GLM-5.2,aliyun/glm-5.2,strict,new_1500_excluding_retained_500,1500,1496,155,32,4,4,312.8516129032258,0.20856774193548389,0.15133333333333332,0.27666666666666667
A/consensus,GLM-5.2,aliyun/glm-5.2,substantive,new_1500_excluding_retained_500,1500,1496,155,6,4,3,60.909677419354836,0.04060645161290322,0.017333333333333333,0.08133333333333333
A/consensus,GLM-5.2,aliyun/glm-5.2,severity_ge3,new_1500_excluding_retained_500,1500,1496,155,0,4,1,1.0,0.0006666666666666666,0.0006666666666666666,0.02266666666666667
A/consensus,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,strict,new_1500_excluding_retained_500,1500,1473,142,79,27,19,838.4859154929577,0.5589906103286385,0.47933333333333333,0.6366666666666667
A/consensus,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,substantive,new_1500_excluding_retained_500,1500,1473,142,33,27,7,349.3169014084507,0.23287793427230047,0.17066666666666666,0.30533333333333335
A/consensus,DeepSeek V4 Pro,aliyun/deepseek-v4-pro,severity_ge3,new_1500_excluding_retained_500,1500,1473,142,0,27,0,0.0,0.0,0.0,0.023333333333333334
A/consensus,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,strict,new_1500_excluding_retained_500,1500,1462,141,66,38,27,711.3404255319149,0.47422695035460993,0.396,0.5533333333333333
A/consensus,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,substantive,new_1500_excluding_retained_500,1500,1462,141,39,38,22,426.3829787234043,0.2842553191489362,0.218,0.35933333333333334
A/consensus,DeepSeek V4 Flash,aliyun/deepseek-v4-flash,severity_ge3,new_1500_excluding_retained_500,1500,1462,141,1,38,5,15.368794326241135,0.010245862884160756,0.004,0.03933333333333333
A/consensus,Qwen 3.7 Max,aliyun/qwen3.7-max,strict,new_1500_excluding_retained_500,1500,1491,153,51,9,5,502.0,0.33466666666666667,0.2653333333333333,0.4106666666666667
A/consensus,Qwen 3.7 Max,aliyun/qwen3.7-max,substantive,new_1500_excluding_retained_500,1500,1491,153,14,9,4,140.4313725490196,0.09362091503267975,0.05533333333333333,0.14733333333333334
A/consensus,Qwen 3.7 Max,aliyun/qwen3.7-max,severity_ge3,new_1500_excluding_retained_500,1500,1491,153,0,9,2,2.0,0.0013333333333333333,0.0013333333333333333,0.023333333333333334
A/consensus,Kimi K2.6,aliyun/kimi-k2.6,strict,new_1500_excluding_retained_500,1500,1481,155,51,19,14,501.2967741935484,0.3341978494623656,0.266,0.4086666666666667
A/consensus,Kimi K2.6,aliyun/kimi-k2.6,substantive,new_1500_excluding_retained_500,1500,1481,155,22,19,12,222.20645161290324,0.14813763440860217,0.10066666666666667,0.20866666666666667
A/consensus,Kimi K2.6,aliyun/kimi-k2.6,severity_ge3,new_1500_excluding_retained_500,1500,1481,155,1,19,2,11.55483870967742,0.007703225806451613,0.002,0.034666666666666665
