blind_id,pmid,source_abstract_sha256,model_output
HR-0001,18502269,455aef2e8b9e44fc744978339492c0c86a7446ea55b20c06c7dba5411f1c152b,"```json
{
  ""study"": {
    ""design"": ""prospective cohort study"",
    ""year"": ""1977-2003"",
    ""sample_size"": 9689,
    ""follow_up"": ""mean 5.7 years""
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": ""20-82 years"",
    ""sex"": ""8429 men, 1260 women"",
    ""weight"": null,
    ""key_characteristics"": ""free of MetS at baseline; measures of waist girth, resting blood pressure, fasting lipids, and glucose taken at baseline and follow-up""
  },
  ""intervention"": {
    ""name"": ""serum uric acid (UA) measurement (observational exposure, not an intervention)"",
    ""dose"": null,
    ""frequency"": null,
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""risk of incident MetS in men (UA >=6.5 mg/dL vs <5.5 mg/dL)"",
      ""timepoint"": ""during mean follow-up of 5.7 years"",
      ""effect"": ""1.60-fold increase"",
      ""ci"": ""95% CI 1.34-1.91""
    },
    {
      ""measure"": ""risk of incident MetS in women (UA >=4.6 mg/dL)"",
      ""timepoint"": ""during mean follow-up of 5.7 years"",
      ""effect"": ""at least 2-fold higher"",
      ""ci"": null
    },
    {
      ""measure"": ""P for trend (women, UA and MetS risk)"",
      ""timepoint"": ""during mean follow-up of 5.7 years"",
      ""effect"": ""P = .02"",
      ""ci"": null
    }
  ],
  ""safety"": [],
  ""other_facts"": ""Hyperuricemia defined as >7.0 mg/dL in men and >6.0 mg/dL in women. Overall prevalence of hyperuricemia was 17%. Metabolic syndrome defined with National Cholesterol Education Program Adult Treatment Panel III criteria. During follow-up, 1120 men and 44 women developed MetS. Men's UA thirds: upper third >=6.5 mg/dL, lowest third <5.5 mg/dL. Women's UA threshold for increased risk: >=4.6 mg/dL. Higher serum UA is a strong and independent predictor of incident MetS in men and women."",
  ""summary"": ""In a prospective cohort of 9689 adults aged 20-82 years followed for a mean of 5.7 years, higher serum uric acid levels were a strong and independent predictor of incident metabolic syndrome in both men and women.""
}
```"
HR-0002,25040985,2b58c0be0afb9e2a9a91e45dbd75e80323a21dd0b9350faf408c4f7511bae534,"{
  ""study"": {
    ""design"": ""cohort"",
    ""year"": null,
    ""sample_size"": 20,
    ""follow_up"": null
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": null,
    ""sex"": ""female"",
    ""weight"": null,
    ""key_characteristics"": ""carcinoma of cervix, treated with tandem and ovoids, EBRT dose 48.6 Gy in 27 fractions, HDR brachytherapy 21 Gy in 3 fractions, total prescribed dose 77.5 Gy α/β10""
  },
  ""intervention"": {
    ""name"": ""High-dose-rate intracavitary brachytherapy (HDR ICBT) using tandem and ovoids"",
    ""dose"": ""21 Gy"",
    ""frequency"": ""3 fractions"",
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""Rectal D2cc vs ICRU point dose difference"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""0.82 Gy"",
      ""ci"": ""0.48-1.19 Gy""
    },
    {
      ""measure"": ""Bladder D2cc vs ICRU point dose difference"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""0.90 Gy"",
      ""ci"": ""0.49-1.25 Gy""
    },
    {
      ""measure"": ""Rectal D2cc/ICRU ratio"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""1.25"",
      ""ci"": null
    },
    {
      ""measure"": ""Rectal D2cc/DMax ratio"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""0.98"",
      ""ci"": null
    },
    {
      ""measure"": ""Bladder D2cc/ICRU ratio"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""1.24"",
      ""ci"": null
    },
    {
      ""measure"": ""Rectum percent of prescribed dose"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""77%"",
      ""ci"": null
    },
    {
      ""measure"": ""Bladder percent of prescribed dose"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""92%"",
      ""ci"": null
    },
    {
      ""measure"": ""Rectal D2cc EQD2"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""68.52 Gy α/β3"",
      ""ci"": null
    },
    {
      ""measure"": ""Rectal ICRU EQD2"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""61.71 Gy α/β3"",
      ""ci"": null
    },
    {
      ""measure"": ""Rectal DMax EQD2"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""69.24 Gy α/β3"",
      ""ci"": null
    },
    {
      ""measure"": ""Bladder D2cc EQD2"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""81.85 Gy α/β3"",
      ""ci"": null
    },
    {
      ""measure"": ""Bladder ICRU EQD2"",
      ""timepoint"": ""per fraction"",
      ""effect"": ""74.11 Gy α/β3"",
      ""ci"": null
    }
  ],
  ""safety"": null,
  ""other_facts"": ""Rectal D2cc mean dose 4.58 ± 1.22 Gy, Rectal ICRU mean 3.76 ± 0.65 Gy, Rectal DMax mean 4.75 ± 1.01 Gy, Bladder D2cc mean 6.00 ± 1.90 Gy, Bladder ICRU mean 5.10 ± 2.03 Gy, p-value for rectal comparison <0.005, p-value for bladder comparison =0.307, study period March 2011 to May 2012, 55 fractions of brachytherapy, EBRT dose 48.6 Gy in 27 fractions, HDR dose 21 Gy in 3 fractions, total prescribed dose 77.5 Gy α/β10, linear-quadratic model used with α/β 10 Gy for target, 3 Gy for OARs"",
  ""summary"": ""This study compared CT-based volumetric calculations (D2cc) with ICRU reference-point estimates of radiation doses to bladder and rectum in 20 cervical cancer patients treated with HDR brachytherapy, finding that DVH doses were higher than ICRU point doses, with a significant difference for rectum (p<0.005) but not for bladder (p=0.307).""
}"
HR-0003,22268263,abb5660bba9a7b4dcaf4c057a127dbc41cc679853da756f14ddf22c0439b6cbb,"{
  ""study"": {
    ""design"": ""retrospective analysis of IVF cycles"",
    ""year"": null,
    ""sample_size"": null,
    ""follow_up"": null
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": ""female partners <=35 years"",
    ""sex"": ""female"",
    ""weight"": null,
    ""key_characteristics"": ""IVF cycles using controlled ovarian hyperstimulation with GnRH antagonist (cetrorelix or ganirelix); at least two embryos transferred; serum progesterone measured by ELISA at the time of hCG injection; progesterone ranges evaluated from <=0.5 ng/ml to 1.9 ng/ml""
  },
  ""intervention"": {
    ""name"": ""cetrorelix or ganirelix for controlled ovarian hyperstimulation in IVF"",
    ""dose"": null,
    ""frequency"": null,
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""pregnancy rate"",
      ""timepoint"": ""pregnancy outcome in IVF cycles"",
      ""effect"": ""no significant difference and no trend with increasing serum progesterone levels with either GnRH antagonist"",
      ""ci"": null
    }
  ],
  ""safety"": null,
  ""other_facts"": ""The analysis covered IVF cycles over a six and a half-year period. Four serum progesterone ranges were evaluated from <=0.5 ng/ml to 1.9 ng/ml, and progesterone was measured by ELISA. At least two embryos were transferred. The study concluded that higher serum progesterone levels up to 2 ng/ml at the time of hCG did not appear disadvantageous in IVF-ET cycles using GnRH antagonists."",
  ""summary"": ""In a retrospective analysis of IVF cycles using GnRH antagonists, serum progesterone levels at hCG injection up to 2 ng/ml were not associated with worse pregnancy outcomes.""
}"
HR-0004,32228577,84984ad50d1b3df8eb8784d5636ab13a4d7a3655b277e30eec967e3734035448,"{
  ""study"": {
    ""design"": ""cohort"",
    ""year"": null,
    ""sample_size"": 4094,
    ""follow_up"": ""median 12.42 years""
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": "">=30 years"",
    ""sex"": ""43.9% men, 56.1% women"",
    ""weight"": null,
    ""key_characteristics"": ""Iranian population, without diabetes and CVD at baseline; glucose tolerance categories defined (NFG, NGT, IFG, IGT, IFG/IGT); subgroup with insulin resistance data (n=803)""
  },
  ""intervention"": null,
  ""outcomes"": [
    {
      ""measure"": ""Hazard ratio for incident CVD, comparing shift from NFG/NGT to IFG/IGT vs persistent NFG/NGT"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 0.72,
      ""ci"": ""0.52-0.996""
    },
    {
      ""measure"": ""Hazard ratio for incident CVD, comparing shift from IFG/IGT to diabetes vs persistent IFG/IGT"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 1.61,
      ""ci"": ""1.03-2.51""
    },
    {
      ""measure"": ""Hazard ratio for incident CHD, comparing shift from IFG/IGT to diabetes vs persistent IFG/IGT"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 1.75,
      ""ci"": ""1.10-2.78""
    },
    {
      ""measure"": ""Hazard ratio for incident CVD, comparing regression from IFG/IGT to normoglycemia vs persistent IFG/IGT"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 1.12,
      ""ci"": ""0.79-1.60""
    },
    {
      ""measure"": ""Hazard ratio for incident CHD, comparing regression from IFG/IGT to normoglycemia vs persistent IFG/IGT"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 1.04,
      ""ci"": ""0.70-1.53""
    },
    {
      ""measure"": ""Hazard ratio for incident CVD, among insulin-resistant subgroup converting to diabetes"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 3.68,
      ""ci"": ""1.49-9.06""
    },
    {
      ""measure"": ""Hazard ratio for incident CHD, among insulin-resistant subgroup converting to diabetes"",
      ""timepoint"": ""median 12.42 years follow-up"",
      ""effect"": 2.76,
      ""ci"": ""1.00-7.60""
    }
  ],
  ""safety"": null,
  ""other_facts"": ""Total CVD events: 428 (men=265). Baseline and second visit at 3 years. Categories: normal fasting glucose (NFG), normal glucose tolerance (NGT), NFG/NGT, impaired fasting glucose (IFG), impaired glucose tolerance (IGT), IFG/IGT. Insulin resistance subgroup size: 803."",
  ""summary"": ""The study assessed the impact of changes in glucose tolerance states on CVD/CHD risk in 4094 Iranians, finding that only progression to diabetes significantly increased risk, while regression to normoglycemia did not reduce risk compared to persistent IFG/IGT, and a signal for lower risk was observed in those converting from NFG/NGT to IFG/IGT.""
}"
HR-0005,21399532,5657bc82b99b8642c3589e3746643788f3757dd05ed0163543e651a5ae85a739,"```json
{
  ""study"": {
    ""design"": ""crossover trial"",
    ""year"": null,
    ""sample_size"": 14,
    ""follow_up"": ""single exercise session per condition (3 hours cycling + ride to exhaustion)""
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": null,
    ""sex"": ""100% female (trained female cyclists and triathletes)"",
    ""weight"": null,
    ""key_characteristics"": {
      ""trained_athletes"": ""cyclists and triathletes"",
      ""exercise_intensity_range"": ""45-70% VO2max"",
      ""ventilatory_threshold_intensity"": ""75.06% VO2max (average)""
    }
  },
  ""intervention"": {
    ""name"": ""Low mixed carbohydrate (CHO) plus moderate protein (PRO) supplement (CHO + PRO)"",
    ""dose"": ""275 mL per serving; CHO mixture 1% each of dextrose, fructose, and maltodextrin + 1.2% PRO"",
    ""frequency"": ""Every 20 minutes during exercise"",
    ""duration"": ""Throughout exercise (3 hours + ride to exhaustion)""
  },
  ""outcomes"": [
    {
      ""measure"": ""Time to exhaustion (TTE) - CHO+PRO"",
      ""timepoint"": ""After 3 hours cycling + ride to exhaustion"",
      ""effect"": ""49.94 ± 7.01 minutes"",
      ""ci"": null
    },
    {
      ""measure"": ""Time to exhaustion (TTE) - CHO (comparator)"",
      ""timepoint"": ""After 3 hours cycling + ride to exhaustion"",
      ""effect"": ""42.36 ± 6.21 minutes"",
      ""ci"": null
    },
    {
      ""measure"": ""Blood glucose - CHO+PRO"",
      ""timepoint"": ""During exercise; treatment × time interactions from 118 minutes until exhaustion"",
      ""effect"": ""4.07 ± 0.12 mmol·L⁻¹"",
      ""ci"": null
    },
    {
      ""measure"": ""Blood glucose - CHO (comparator)"",
      ""timepoint"": ""During exercise; treatment × time interactions from 118 minutes until exhaustion"",
      ""effect"": ""4.47 ± 0.12 mmol·L⁻¹"",
      ""ci"": null
    }
  ],
  ""safety"": [],
  ""other_facts"": ""Comparator supplement: 6% dextrose only (CHO), 275 mL every 20 minutes. TTE comparison p < 0.05. Blood glucose treatment × time interaction p < 0.05. CHO+PRO contained lower CHO and caloric content than the 6% CHO supplement. Greater performance with CHO+PRO likely attributed to CHO-PRO combination and use of a mixture of CHO sources. Exercise protocol: 2 separate occasions, 3 hours cycling at 45-70% VO2max followed by ride to exhaustion at ~75.06% VO2max."",
  ""summary"": ""A crossover trial of 14 trained female cyclists and triathletes found that a low mixed carbohydrate plus moderate protein supplement significantly improved time to exhaustion (49.94 ± 7.01 vs 42.36 ± 6.21 minutes, p < 0.05) compared to a traditional 6% CHO supplement during endurance exercise, despite containing lower CHO and caloric content.""
}
```"
HR-0006,40311690,e4a51dd7a7a5c06bbeb3e8a9a62078bcf35b1ea181d7d2876e1f0cecdf206f3a,"{
  ""study"": {
    ""design"": ""cross-sectional"",
    ""year"": ""2023"",
    ""sample_size"": 136,
    ""follow_up"": null
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": null,
    ""sex"": null,
    ""weight"": null,
    ""key_characteristics"": ""Participants divided into three groups based on HbA1c: DM group (HbA1c ≥ 6.5%), Pre-DM group (HbA1c ≥ 5.7 and < 6.5%), control group (HbA1c < 5.7%).""
  },
  ""intervention"": {
    ""name"": null,
    ""dose"": null,
    ""frequency"": null,
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""Neutrophil-to-Lymphocyte Ratio (NLR)"",
      ""timepoint"": null,
      ""effect"": ""p=0.025 for T2DM vs control; p=0.034 for T2DM vs Pre-DM"",
      ""ci"": null
    },
    {
      ""measure"": ""Platelet-to-Lymphocyte Ratio (PLR)"",
      ""timepoint"": null,
      ""effect"": ""not statistically significant in group comparisons"",
      ""ci"": null
    }
  ],
  ""safety"": [],
  ""other_facts"": ""Study conducted at Ankara Bilkent Training and Research Hospital Clinical Biochemistry Department. Data analyzed with SPSS for Windows Version 22 and Microsoft Excel 365."",
  ""summary"": ""In this cross-sectional study of 136 participants, NLR was significantly higher in T2DM patients compared to controls and pre-diabetic individuals, while PLR showed no significant differences, suggesting NLR may be useful for monitoring glycemic control.""
}"
HR-0007,33283757,4f646819f54cbb53bdb839f382632a4fbb58db1713c8f840e41cfd085370c90e,"```json
{
  ""study"": {
    ""design"": ""cohort"",
    ""year"": null,
    ""sample_size"": 265,
    ""follow_up"": ""24 months""
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": null,
    ""sex"": ""84% male in severe sleep apnea group vs 72% male in non-severe group"",
    ""weight"": null,
    ""key_characteristics"": ""left ventricular ejection fraction ≤35%; creatinine levels higher in severe sleep apnea group""
  },
  ""intervention"": {
    ""name"": ""ApneaScan algorithm (Boston Scientific) for RDI calculation"",
    ""dose"": null,
    ""frequency"": null,
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""all-cause death"",
      ""timepoint"": ""median follow-up of 25 months"",
      ""effect"": ""HR 3.33"",
      ""ci"": ""95% CI 1.35-8.21; P = .023""
    },
    {
      ""measure"": ""all-cause death or cardiovascular hospitalization"",
      ""timepoint"": ""median follow-up of 25 months"",
      ""effect"": ""HR 1.94"",
      ""ci"": ""95% CI 1.01-3.76; P = .048""
    },
    {
      ""measure"": ""death (multivariate analysis)"",
      ""timepoint"": ""median follow-up of 25 months"",
      ""effect"": ""HR 4.02 for RDI ≥30 episodes/h"",
      ""ci"": ""95% CI 1.16-13.97; P = .029""
    },
    {
      ""measure"": ""death (multivariate analysis)"",
      ""timepoint"": ""median follow-up of 25 months"",
      ""effect"": ""HR 2.36 for creatinine levels"",
      ""ci"": ""95% CI 1.26-4.42; P = .008""
    }
  ],
  ""safety"": [
    {
      ""event"": ""all-cause death"",
      ""rate"": ""19 patients (8%)""
    },
    {
      ""event"": ""cardiovascular hospitalization"",
      ""rate"": ""19 patients (8%)""
    }
  ],
  ""other_facts"": ""224 of 265 enrolled patients had usable RDI values; severe sleep apnea (RDI ≥30 episodes/h) diagnosed in 115 patients (51%); RDI calculated at 1 month after implantation used for stratification; P = .030 for sex difference between groups"",
  ""summary"": ""In heart failure patients with ICDs, device-detected severe sleep apnea (RDI ≥30 episodes/h) independently predicts death and cardiovascular hospitalizations over 24 months.""
}
```"
HR-0008,16773960,34e893afeced50d16bce7344a987b098f728e16b9d4f52ad424cf014924cffb7,"{
  ""study"": {
    ""design"": ""cross-sectional diagnostic study"",
    ""year"": null,
    ""sample_size"": 57,
    ""follow_up"": null
  },
  ""population"": {
    ""age"": ""pediatric"",
    ""age_criteria"": null,
    ""sex"": null,
    ""weight"": null,
    ""key_characteristics"": {
      ""condition"": ""suspected Cystic Fibrosis""
    }
  },
  ""intervention"": {
    ""name"": ""CFTR delta F508 mutation testing and sweat chloride analysis using pilocarpine iontophoresis"",
    ""dose"": null,
    ""frequency"": null,
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""Delta F508 mutation positivity rate in all screened patients"",
      ""timepoint"": null,
      ""effect"": ""10.6%"",
      ""ci"": null
    },
    {
      ""measure"": ""Proportion of patients receiving a preliminary sweat test"",
      ""timepoint"": null,
      ""effect"": ""21% (12/57)"",
      ""ci"": null
    },
    {
      ""measure"": ""Abnormal sweat test rate among those tested"",
      ""timepoint"": null,
      ""effect"": ""50% (6/12)"",
      ""ci"": null
    },
    {
      ""measure"": ""Delta F508 mutation rate among patients with abnormal sweat chloride"",
      ""timepoint"": null,
      ""effect"": ""50% (3/6)"",
      ""ci"": null
    }
  ],
  ""safety"": [],
  ""other_facts"": ""Cystic Fibrosis is a potentially lethal genetic disorder. The most frequent mutation worldwide in the CFTR gene is Delta F508, but common Pakistani mutations remain unidentified. Sweat chloride determinations remain the gold standard for diagnosing CF. The study was conducted at the Aga Khan University Hospital. A positive sweat chloride value was defined as greater than 60 meq/L. Previously, the Delta F508 mutation was found in 33% of Pakistani patients. Among the patients with abnormal sweat chloride and deltaF508 mutations, 33% (2/6) were homozygotes and 1 was a compound heterozygote. 79% of the suspected patients did not have a sweat test, making it difficult to assess if they had CF with a different mutation or no CF."",
  ""summary"": ""A cross-sectional diagnostic study of 57 pediatric patients suspected of having Cystic Fibrosis found that relying solely on CFTR delta F508 mutation testing (10.6% positive) is insufficient, highlighting the critical need for sweat chloride analysis to accurately diagnose CF and guide further genetic testing.""
}"
HR-0009,25673191,47ecdb238a53e8b98d21dc5be3e445c13a9e5ecef65086a47a5f124af54f587b,"```json
{
  ""study"": {
    ""design"": ""experimental study (in vivo and in vitro)"",
    ""year"": null,
    ""sample_size"": ""20 SD rats (control n=10, diabetes n=10); in vitro HUVECs (number not specified)"",
    ""follow_up"": null
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": null,
    ""sex"": null,
    ""weight"": null,
    ""key_characteristics"": ""SD rats; diabetic model induced via high-fat diet feeding and streptozotocin (STZ) injection; in vitro human umbilical vascular endothelial cells (HUVECs) stimulated with high glucose""
  },
  ""intervention"": {
    ""name"": ""Streptozotocin (STZ) for diabetes induction in vivo; high concentration glucose and NPS-2143 (CaSR inhibitor) in vitro"",
    ""dose"": ""STZ 30 mg/kg; glucose 33 mmol/L; NPS-2143 10 μmol/L"",
    ""frequency"": null,
    ""duration"": null
  },
  ""outcomes"": [
    {
      ""measure"": ""Hydroxyproline level in vessel wall"",
      ""timepoint"": null,
      ""effect"": ""30% more in diabetic rats than control"",
      ""ci"": null
    },
    {
      ""measure"": ""Collagen I mRNA levels in aorta"",
      ""timepoint"": null,
      ""effect"": ""nearly twice those in normal aorta"",
      ""ci"": null
    },
    {
      ""measure"": ""Collagen III mRNA levels in aorta"",
      ""timepoint"": null,
      ""effect"": ""nearly twice those in normal aorta"",
      ""ci"": null
    },
    {
      ""measure"": ""Cleaved caspase-3 in vascular cells"",
      ""timepoint"": null,
      ""effect"": ""elevated 1.5 times vs control"",
      ""ci"": null
    },
    {
      ""measure"": ""Cleaved caspase-9 in vascular cells"",
      ""timepoint"": null,
      ""effect"": ""elevated 2.5 times vs control"",
      ""ci"": null
    },
    {
      ""measure"": ""CaSR mRNA levels in aorta"",
      ""timepoint"": null,
      ""effect"": ""increased by 3 times in diabetes group vs control"",
      ""ci"": null
    },
    {
      ""measure"": ""CaSR protein levels in aorta"",
      ""timepoint"": null,
      ""effect"": ""increased by 1.5 times in diabetes group vs control"",
      ""ci"": null
    },
    {
      ""measure"": ""Bax expression levels"",
      ""timepoint"": null,
      ""effect"": ""increased 2 times in diabetic rats vs control"",
      ""ci"": null
    },
    {
      ""measure"": ""Phospho-p38 expression levels"",
      ""timepoint"": null,
      ""effect"": ""increased 0.5 times in diabetic rats vs control"",
      ""ci"": null
    },
    {
      ""measure"": ""Phospho-JNK expression levels"",
      ""timepoint"": null,
      ""effect"": ""increased 0.5 times in diabetic rats vs control"",
      ""ci"": null
    }
  ],
  ""safety"": [],
  ""other_facts"": ""CaSR is a typical G protein coupled receptor (GPCR). Hydroxyproline level was determined via Choramnie T oxidation method. Gene transcription levels were detected by real-time PCR. Protein expression levels were detected by Western blotting. In vitro HUVECs were stimulated with high concentration of glucose (33 mmol/L) to mimic hyperglycemia. CaSR level and key apoptotic proteins (cleaved caspase-3 and -9, Bax, phospho-p38 and phospho-JNK) were elevated in response to high glucose stimulation in HUVECs. Inhibition of CaSR by specific inhibitor NPS-2143 (10 μmol/L) could protect cells against apoptosis. CaSR might play an important role in the development of diabetic macroangiopathy through promoting cell apoptosis induced by hyperglycemia."",
  ""summary"": ""This experimental study demonstrated that calcium sensing receptor (CaSR) may play an important role in the development of diabetic macroangiopathy by promoting hyperglycemia-induced cell apoptosis, as shown by elevated CaSR and pro-apoptotic markers in diabetic rat aortas and high-glucose-stimulated HUVECs, with CaSR inhibition by NPS-2143 protecting against apoptosis.""
}
```"
HR-0010,16795068,68d3af86e34e07a0275c103533c12ef7d878c11e3afff3089417b17afed03d06,"```json
{
  ""study"": {
    ""design"": ""retrospective cohort"",
    ""year"": null,
    ""sample_size"": 67,
    ""follow_up"": ""3-year PCSM estimates reported""
  },
  ""population"": {
    ""age"": null,
    ""age_criteria"": null,
    ""sex"": ""all male (prostate cancer patients)"",
    ""weight"": null,
    ""key_characteristics"": [
      ""PSA doubling time <=6 months"",
      ""localized prostate cancer"",
      ""50 patients had radical prostatectomy"",
      ""17 patients had external beam radiation therapy""
    ]
  },
  ""intervention"": {
    ""name"": ""androgen deprivation therapy (ADT)"",
    ""dose"": null,
    ""frequency"": null,
    ""duration"": "">=8 months (PSA nadir measured after 8 months on ADT)""
  },
  ""outcomes"": [
    {
      ""measure"": ""association of PSA nadir >0.2 ng/mL with time to PCSM"",
      ""timepoint"": ""8 months after ADT initiation"",
      ""effect"": ""adjusted HR 8.0, P=0.009"",
      ""ci"": ""95% CI 1.7-38.7""
    },
    {
      ""measure"": ""association of Gleason score >=8 with time to PCSM"",
      ""timepoint"": ""8 months after ADT initiation"",
      ""effect"": ""adjusted HR 5.2, P=0.02"",
      ""ci"": ""95% CI 1.3-20.6""
    },
    {
      ""measure"": ""3-year cumulative incidence of PCSM by PSA nadir"",
      ""timepoint"": ""3 years"",
      ""effect"": ""5.8% (PSA nadir <=0.2 ng/mL) vs 50.9% (PSA nadir >0.2 ng/mL)"",
      ""ci"": null
    },
    {
      ""measure"": ""3-year cumulative incidence of PCSM by Gleason score"",
      ""timepoint"": ""3 years"",
      ""effect"": ""10.8% (Gleason <=7) vs 35.8% (Gleason >=8)"",
      ""ci"": null
    }
  ],
  ""safety"": [],
  ""other_facts"": ""Multivariate Cox proportional hazards regression analysis was used to evaluate interval to PSA failure, pre-ADT PSA DT, PSA level at ADT initiation, time to PSA nadir, PSA nadir after 8 months on ADT, and Gleason score as predictors of time to PCSM. Men with PSA nadir >0.2 ng/mL after ADT and Gleason score >=8 were identified as high risk for PCSM and ideal candidates for Phase III studies of new systemic therapies."",
  ""summary"": ""In 67 men with PSA doubling time <=6 months after local treatment for prostate cancer, a PSA nadir >0.2 ng/mL after 8 months of ADT and a Gleason score >=8 were significantly associated with shorter time to prostate cancer-specific mortality.""
}
```"
