pmid,year,words,chars,mentions,groups,type,field
22825811,2012,224,1550,3,3,Case report or case series,Infectious diseases
41514454,2026,266,1849,5,5,Other or unspecified design,Respiratory medicine
23991889,2013,265,1792,14,13,Other or unspecified design,Neurology and psychiatry
41404504,2025,242,1708,10,10,Other or unspecified design,Endocrinology and metabolism
18490328,2008,255,1735,3,3,Other or unspecified design,Oncology
37739868,2024,299,1921,11,10,Other or unspecified design,Cardiovascular medicine
16972068,2006,437,2838,22,21,Nonrandomized intervention or clinical trial,Oncology
35191321,2022,270,1832,4,4,Other or unspecified design,Cardiovascular medicine
30638984,2019,278,1836,7,7,Cohort study,Cardiovascular medicine
42221673,2026,371,2768,3,3,Other or unspecified design,Neurology and psychiatry
17601366,2007,263,1680,17,11,Cohort study,Other or general medicine
28766723,2017,288,2243,14,13,Meta-analysis or systematic review,Respiratory medicine
32201245,2020,471,3005,15,14,Meta-analysis or systematic review,Gastroenterology and hepatobiliary medicine
20056225,2010,226,1645,9,9,Other or unspecified design,Cardiovascular medicine
24860173,2014,279,1988,3,3,Other or unspecified design,Cardiovascular medicine
28711629,2017,317,2183,11,11,Randomized controlled trial,Infectious diseases
31198075,2019,266,1957,24,24,Other or unspecified design,Endocrinology and metabolism
28412518,2017,337,2135,31,31,Randomized controlled trial,Surgery and orthopedics
39038363,2025,336,2328,6,5,Other or unspecified design,Other or general medicine
39659029,2024,234,1655,11,11,Other or unspecified design,Other or general medicine
20002243,2009,261,1920,5,5,Case report or case series,Oncology
16856824,2006,288,2013,10,10,Other or unspecified design,Cardiovascular medicine
25381336,2014,270,1811,4,4,Cohort study,Cardiovascular medicine
42126896,2026,248,1745,4,4,Case report or case series,Neurology and psychiatry
17568167,2007,246,1693,11,11,Randomized controlled trial,Endocrinology and metabolism
17118860,2006,282,1844,4,4,Cross-sectional study,Cardiovascular medicine
20091203,2009,238,1647,4,4,Cross-sectional study,Endocrinology and metabolism
35816461,2022,544,3363,13,13,Other or unspecified design,Cardiovascular medicine
28438163,2017,457,2830,6,5,Case-control study,Cardiovascular medicine
16432848,2006,296,1774,34,33,Other or unspecified design,Other or general medicine
33257615,2020,269,1845,5,5,Other or unspecified design,Cardiovascular medicine
33588199,2021,266,1814,24,24,Cross-sectional study,Cardiovascular medicine
18413554,2008,282,1945,9,9,Randomized controlled trial,Cardiovascular medicine
32971582,2020,247,1677,14,14,Other or unspecified design,Surgery and orthopedics
26297882,2015,239,1685,5,5,Other or unspecified design,Endocrinology and metabolism
23861950,2012,279,1881,7,7,Other or unspecified design,Cardiovascular medicine
27194344,2016,299,1897,5,5,Other or unspecified design,Oncology
41101118,2025,309,2038,3,3,Cohort study,Endocrinology and metabolism
36503429,2022,307,2075,8,7,Randomized controlled trial,Oncology
33027423,2020,211,1413,8,8,Other or unspecified design,Pediatrics and neonatology
29614524,2018,253,1748,3,3,Meta-analysis or systematic review,Cardiovascular medicine
34699125,2022,249,1701,3,3,Other or unspecified design,Pediatrics and neonatology
18511439,2008,264,1795,9,9,Randomized controlled trial,Surgery and orthopedics
35831174,2022,269,1828,11,11,Other or unspecified design,Cardiovascular medicine
33132043,2020,187,1358,5,5,Other or unspecified design,Respiratory medicine
25861242,2015,367,2300,3,3,Other or unspecified design,Cardiovascular medicine
19084128,2008,201,1285,4,4,Other or unspecified design,Other or general medicine
23788756,2013,238,1731,7,7,Other or unspecified design,Oncology
27557630,2016,336,2281,5,5,Questionnaire or survey study,Gastroenterology and hepatobiliary medicine
21161117,2011,333,2228,14,14,Other or unspecified design,Cardiovascular medicine
42569357,2026,244,1636,7,6,Cohort study,Cardiovascular medicine
17091767,2006,275,1828,7,7,Other or unspecified design,Obstetrics and gynecology
35763518,2021,284,1942,4,4,Other or unspecified design,Cardiovascular medicine
42090724,2026,311,2105,14,14,Cohort study,Infectious diseases
23063304,2012,195,1297,28,18,Other or unspecified design,Endocrinology and metabolism
39813066,2024,352,2234,12,12,Other or unspecified design,Cardiovascular medicine
22575540,2013,266,1842,15,15,Other or unspecified design,Oncology
39503485,2024,274,1853,8,8,Other or unspecified design,Pediatrics and neonatology
21332566,2011,289,1896,5,5,Case report or case series,Other or general medicine
38747743,2024,534,3731,13,13,Cohort study,Obstetrics and gynecology
18334676,2008,196,1316,8,8,Other or unspecified design,Oncology
16922681,2006,280,1815,8,8,Other or unspecified design,Neurology and psychiatry
19309724,2009,276,1926,11,11,Randomized controlled trial,Oncology
18971549,2008,240,1700,8,7,Other or unspecified design,Other or general medicine
21070297,2010,305,2077,8,8,Randomized controlled trial,Oncology
40377907,2025,214,1622,4,4,Other or unspecified design,Endocrinology and metabolism
37058040,2023,304,2334,8,8,Case report or case series,Oncology
26230313,2015,334,2312,9,9,Other or unspecified design,Surgery and orthopedics
23265339,2013,304,2200,4,4,Cohort study,Cardiovascular medicine
17109060,2007,407,2753,19,19,Other or unspecified design,Other or general medicine
18405945,2008,272,1827,3,3,Other or unspecified design,Oncology
31006009,2019,193,1432,3,3,Other or unspecified design,Respiratory medicine
19328945,2009,229,1354,4,4,Other or unspecified design,Surgery and orthopedics
20602740,2010,251,1842,6,6,Other or unspecified design,Other or general medicine
20947241,2011,265,1764,5,5,Randomized controlled trial,Cardiovascular medicine
28535124,2017,272,1789,8,8,Cohort study,Other or general medicine
22388791,2012,208,1446,4,4,Other or unspecified design,Endocrinology and metabolism
18766457,2008,311,2007,8,8,Cohort study,Other or general medicine
33477093,2021,212,1420,5,5,Cross-sectional study,Other or general medicine
27611701,2016,280,1860,5,5,Other or unspecified design,Cardiovascular medicine
18727849,2008,226,1577,9,9,Other or unspecified design,Neurology and psychiatry
29719160,2018,285,2077,3,3,Other or unspecified design,Oncology
33912896,2021,179,1158,5,5,Other or unspecified design,Other or general medicine
38172531,2024,218,1584,6,6,Other or unspecified design,Cardiovascular medicine
30579821,2018,259,1858,8,8,Cohort study,Obstetrics and gynecology
17085164,2006,290,2094,3,3,Cohort study,Cardiovascular medicine
22365136,2012,272,1965,12,12,Cross-sectional study,Respiratory medicine
33728347,2020,240,1671,4,4,Other or unspecified design,Endocrinology and metabolism
29626232,2019,314,1952,8,7,Randomized controlled trial,Cardiovascular medicine
42345987,2026,634,4324,37,36,Other or unspecified design,Neurology and psychiatry
39834217,2025,253,1802,16,15,Other or unspecified design,Infectious diseases
24425143,2014,228,1540,3,3,Other or unspecified design,Oncology
18261563,2007,265,1805,10,10,Other or unspecified design,Surgery and orthopedics
23375298,2012,280,1905,8,8,Cohort study,Endocrinology and metabolism
17988369,2007,300,2223,8,8,Cohort study,Neurology and psychiatry
41756303,2026,277,2187,4,4,Case report or case series,Neurology and psychiatry
35944871,2022,328,2063,3,3,Randomized controlled trial,Other or general medicine
31240879,2019,244,1543,8,8,Case-control study,Endocrinology and metabolism
31300826,2020,267,1715,7,7,Cohort study,Pediatrics and neonatology
38083570,2023,125,933,3,3,Other or unspecified design,Other or general medicine
17010741,2006,281,2059,8,8,Cross-sectional study,Other or general medicine
23163825,2013,254,1870,6,6,Randomized controlled trial,Cardiovascular medicine
19115910,2008,244,1524,7,7,Other or unspecified design,Respiratory medicine
41805288,2026,265,1779,13,13,Cohort study,Endocrinology and metabolism
39894549,2025,278,1898,9,9,Other or unspecified design,Cardiovascular medicine
42469991,2026,285,2089,7,7,Other or unspecified design,Endocrinology and metabolism
26040625,2015,256,1898,5,5,Cohort study,Cardiovascular medicine
28757153,2017,300,2209,4,4,Other or unspecified design,Cardiovascular medicine
38768696,2024,275,2015,6,6,Case-control study,Neurology and psychiatry
22659767,2012,324,2254,6,6,Other or unspecified design,Endocrinology and metabolism
19656709,2010,250,1668,10,10,Cohort study,Oncology
24200636,2014,245,1554,9,9,Questionnaire or survey study,Endocrinology and metabolism
33388644,2020,208,1412,4,4,Other or unspecified design,Other or general medicine
29175799,2017,178,1257,3,3,Other or unspecified design,Oncology
34738962,2021,319,2077,5,5,Randomized controlled trial,Cardiovascular medicine
21705493,2011,249,1618,11,11,Randomized controlled trial,Obstetrics and gynecology
25450317,2014,275,1759,12,12,Other or unspecified design,Gastroenterology and hepatobiliary medicine
18160456,2007,261,1730,5,5,Other or unspecified design,Oncology
24296447,2013,778,4877,19,19,Other or unspecified design,Cardiovascular medicine
27722893,2016,182,1342,3,3,Other or unspecified design,Neurology and psychiatry
22118037,2011,170,1182,13,13,Other or unspecified design,Other or general medicine
29112662,2017,266,1971,10,9,Meta-analysis or systematic review,Gastroenterology and hepatobiliary medicine
34543098,2021,263,1844,6,6,Randomized controlled trial,Respiratory medicine
24122259,2014,297,1882,20,20,Other or unspecified design,Pediatrics and neonatology
18782816,2008,257,1841,4,4,Other or unspecified design,Neurology and psychiatry
42455491,2026,466,3225,25,25,Cohort study,Cardiovascular medicine
39607902,2024,295,2035,8,8,Cross-sectional study,Endocrinology and metabolism
28944609,2017,280,2109,6,6,Randomized controlled trial,Cardiovascular medicine
21820190,2011,296,2086,8,7,Cohort study,Oncology
28546546,2017,209,1484,7,7,Cohort study,Cardiovascular medicine
41838713,2026,369,2848,3,3,Randomized controlled trial,Cardiovascular medicine
32139298,2020,323,2236,29,29,Nonrandomized intervention or clinical trial,Oncology
25237185,2014,285,1830,4,4,Other or unspecified design,Other or general medicine
